"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genes","change"
"AC112206.3",30.4330285062052,2.82951031116203,0.708199356482871,3.99535848947141,6.45964324018829e-05,0.000459211785515266,"AC112206.3","Up"
"RIPPLY3",167.411445778771,2.82562076841869,0.565551044266633,4.99622588812078,5.8463176105479e-07,7.99436986197555e-06,"RIPPLY3","Up"
"CBX2",1870.96630107633,2.82085607528533,0.403200921592389,6.99615483056121,2.63082796522881e-12,1.2693744932229e-10,"CBX2","Up"
"HOXB9",883.779319370429,2.81853265869713,0.588802868291755,4.78688676716929,1.69388337941005e-06,2.01792533708749e-05,"HOXB9","Up"
"HOXC13",361.611600218627,2.81725399219407,0.511490002805853,5.50793559353968,3.63066183220118e-08,6.81939814448147e-07,"HOXC13","Up"
"HOXC-AS2",67.5417670148526,2.81194485281176,0.381880976822718,7.36340646294397,1.79275430218898e-13,1.10251351018008e-11,"HOXC-AS2","Up"
"CCL18",1625.47641641414,2.81058226619658,0.530308530288289,5.29990016315346,1.15866021056504e-07,1.91442746266584e-06,"CCL18","Up"
"CST2",98.5886710811642,2.80699029803822,0.535954506139969,5.23736672773707,1.62883838213528e-07,2.6081540978551e-06,"CST2","Up"
"CLDN1",19830.5083159017,2.80178962709159,0.44443608584426,6.30414522207226,2.89788690594336e-10,8.98691696540589e-09,"CLDN1","Up"
"AIM2",669.14804470435,2.79416941220274,0.58881372031787,4.74542171112166,2.08072380110921e-06,2.39672959998243e-05,"AIM2","Up"
"TOP2A",24745.7573967222,2.78862608797566,0.335009751349415,8.32401467940292,8.50330697037183e-17,1.04234456119247e-14,"TOP2A","Up"
"SLC22A20P",504.074008807104,2.78598546075941,0.485735318659991,5.73560404963998,9.71654183781441e-09,2.09107357083783e-07,"SLC22A20P","Up"
"CILP2",301.293492925527,2.78507928143757,0.482582111333346,5.77120290211869,7.87076319061904e-09,1.74135836346598e-07,"CILP2","Up"
"CLEC5A",215.748900921736,2.78240709679189,0.406160547799762,6.85051049853229,7.35869108650518e-12,3.24820860562961e-10,"CLEC5A","Up"
"SLC2A1",44896.248065127,2.76894450691176,0.433399496946002,6.38889644871171,1.67087152510525e-10,5.49147666819917e-09,"SLC2A1","Up"
"HS6ST2",1058.5598423542,2.76748190842698,0.634258858431066,4.36333189775664,1.28096378258701e-05,0.000115675684139838,"HS6ST2","Up"
"KIAA1549L",1693.63631577796,2.7573759719609,0.512553421282478,5.37968503860842,7.46162661007013e-08,1.29539550200854e-06,"KIAA1549L","Up"
"PI3",39001.3717385484,2.75338957432121,0.661911120622201,4.15975723709402,3.18586031825175e-05,0.000251623325614816,"PI3","Up"
"VGLL1",170.476340279388,2.7457126665987,0.647282974692459,4.2419046598642,2.21630844993537e-05,0.000184526240930369,"VGLL1","Up"
"H2BC11",348.480487611122,2.74558658998923,0.371109743579963,7.39831448105763,1.37923907306813e-13,8.62832940124209e-12,"H2BC11","Up"
"C6orf223",663.837898427981,2.73689336693869,0.601793726447218,4.54789281885067,5.41857175518807e-06,5.51029869857746e-05,"C6orf223","Up"
